Kod;Nazwa;liczba_ludnosci_na_1_miejsce_w_kinach_stalych;boiska;gestosc_zaludnienia_na_km_2;dochody_budzetow_powiatow_2019;miejsca_na_widowni_w_kinach_stalych_2019;;;;;;;;;
2201000;Powiat bytowski;433;46;36;;183;;;;;2201000;Powiat bytowski;46;;0
2202000;Powiat chojnicki;204;31;72;115090685,6;479;;;;;2202000;Powiat chojnicki;31;;0
2203000;Powiat człuchowski;249;13;36;136982476,3;225;;;;;2203000;Powiat człuchowski;13;;0
2204000;Powiat gdański;685;24;149;107092446,1;173;;;;;2204000;Powiat gdański;24;;0
2205000;Powiat kartuski;6970;24;124;99995169,29;20;;;;;2205000;Powiat kartuski;24;;0
2206000;Powiat kościerski;286;19;62;146809862,4;254;;;;;2206000;Powiat kościerski;19;;0
2207000;Powiat kwidzyński;222;28;100;109449789;374;;;;;2207000;Powiat kwidzyński;28;;0
2208000;Powiat lęborski;144;12;93;98067748,6;458;;;;;2208000;Powiat lęborski;12;;0
2209000;Powiat malborski;;8;128;85312232,83;;;;;;2209000;Powiat malborski;8;;0
2210000;Powiat nowodworski;;12;53;91476302,88;;;;;;2210000;Powiat nowodworski;12;;0
2211000;Powiat pucki;482;38;149;46812089,71;180;;;;;2211000;Powiat pucki;38;;0
2212000;Powiat słupski;408;40;43;93205962,66;242;;;;;2212000;Powiat słupski;40;;0
2213000;Powiat starogardzki;130;34;95;120724180,5;989;;;;;2213000;Powiat starogardzki;34;;0
2214000;Powiat tczewski;153;22;166;156811114,1;754;;;;;2214000;Powiat tczewski;22;;0
2215000;Powiat wejherowski;175;31;169;161385646,5;1247;;;;;2215000;Powiat wejherowski;31;;0
2216000;Powiat sztumski;180;10;57;210335774,8;229;;;;;2216000;Powiat sztumski;10;;0
2261000;Powiat m.Gdańsk;59;23;1798;50911534,42;7981;;;;;2261000;Powiat m.Gdańsk;23;;0
2262000;Powiat m.Gdynia;154;13;1823;;1604;;;;;2262000;Powiat m.Gdynia;13;;0
2263000;Powiat m.Słupsk;77;3;2102;;1174;;;;;2263000;Powiat m.Słupsk;3;;0
2264000;Powiat m.Sopot;31;2;2067;;1155;;;;;2264000;Powiat m.Sopot;2;;0
2401000;Powiat będziński;779;20;407;;190;;;;;2401000;Powiat będziński;20;;0
2402000;Powiat bielski;163;38;362;131174539,6;1020;;;;;2402000;Powiat bielski;38;;0
2403000;Powiat cieszyński;557;42;244;149226625,6;320;;;;;2403000;Powiat cieszyński;42;;0
2404000;Powiat częstochowski;;27;88;213879843;;;;;;2404000;Powiat częstochowski;27;;0
2405000;Powiat gliwicki;608;41;174;117622267,9;190;;;;;2405000;Powiat gliwicki;41;;0
2406000;Powiat kłobucki;;13;95;96173374,51;;;;;;2406000;Powiat kłobucki;13;;0
2407000;Powiat lubliniecki;236;24;93;71389737,35;324;;;;;2407000;Powiat lubliniecki;24;;0
2408000;Powiat mikołowski;;16;425;96034472,91;;;;;;2408000;Powiat mikołowski;16;;0
2409000;Powiat myszkowski;163;6;148;106903824,4;434;;;;;2409000;Powiat myszkowski;6;;0
2410000;Powiat pszczyński;;24;237;66891872,19;;;;;;2410000;Powiat pszczyński;24;;0
2411000;Powiat raciborski;189;41;199;120880732,2;574;;;;;2411000;Powiat raciborski;41;;0
2412000;Powiat rybnicki;;29;350;141672833,3;;;;;;2412000;Powiat rybnicki;29;;0
2413000;Powiat tarnogórski;210;36;218;63789325,01;669;;;;;2413000;Powiat tarnogórski;36;;0
2414000;Powiat bieruńsko-lędziński;;17;378;181310782,5;;;;;;2414000;Powiat bieruńsko-lędziński;17;;0
2415000;Powiat wodzisławski;242;42;548;50490208,26;650;;;;;2415000;Powiat wodzisławski;42;;0
2416000;Powiat zawierciański;195;12;117;173239649,2;603;;;;;2416000;Powiat zawierciański;12;;0
2417000;Powiat żywiecki;623;40;147;129111659,1;245;;;;;2417000;Powiat żywiecki;40;;0
2461000;Powiat m.Bielsko-Biała;54;12;1371;173116932;3136;;;;;2461000;Powiat m.Bielsko-Biała;12;;0
2462000;Powiat m.Bytom;94;7;2380;;1750;;;;;2462000;Powiat m.Bytom;7;;0
2463000;Powiat m.Chorzów;2695;8;3243;;40;;;;;2463000;Powiat m.Chorzów;8;;0
2464000;Powiat m.Częstochowa;60;4;1380;;3680;;;;;2464000;Powiat m.Częstochowa;4;;0
